"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","SSP2-Baseline","World","Population","million",6490.9879,6879.5896,"",7623.6572,"",8273.4011,"",8795.5201,"",9172.3104,"",9380.9208,"",9442.8467,"",9383.0055,"",9220.2795,"",8990.6331
"AIM/CGE 2.0","SSP2-Baseline","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71299.26881000001,"",108046.2182,"",153517.1,"",200121.9,"",249496.5,"",303091.8,"",364178.1,"",431031.7,"",503959.5,"",583232.1
"AIM/CGE 2.2","EN_NPi2020_800","World","Population","million","",6892.0598,7298.8706,7663.0414,8000.9169,8306.4889,8580.1663,8820.2675,9024.0564,9187.3955,9307.6237,9386.2108,9428.6015,9439.9757,9421.4786,9374.2907,9301.4783,9208.3801,9099.5922,8978.2168
"AIM/CGE 2.2","EN_NPi2020_800","World","GDP|PPP","billion US$2010/yr","",85486.6876,101995,128485,151168,175122,203493,236491,268735,298776,331098,365890,405467,447351,491738,539234,588867,642010,697842,755858
"AIM/CGE 2.0","SSP4-Baseline","World","Population","million",6490.9879,6879.5896,"",7611.0482,"",8243.6688,"",8750.4991,"",9130.67,"",9360.2115,"",9453.215,"",9449.558,"",9377.1331,"",9266.2664
"AIM/CGE 2.0","SSP4-Baseline","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71303.23354,"",107539.519,"",152952.8,"",197998.9,"",238134.6,"",273601.9,"",306278.5,"",333837.9,"",358438.3,"",381646.1
"AIM/CGE 2.0","SSP3-Baseline","World","Population","million",6490.9879,6879.5896,"",7697.8539,"",8514.3073,"",9257.2202,"",9957.1308,"",10574.3619,"",11117.3765,"",11633.4153,"",12134.327,"",12620.1355
"AIM/CGE 2.0","SSP3-Baseline","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71293.99101,"",107192.7966,"",143442.2,"",170034.7,"",191019.4,"",209092.4,"",228685.6,"",249407.4,"",271789.1,"",297291.5
"AIM/CGE 2.0","SSP5-Baseline","World","Population","million",6490.9879,6879.5896,"",7538.0815,"",8040.9451,"",8391.6615,"",8569.8831,"",8582.985,"",8452.4889,"",8196,"",7826.3127,"",7368.8976
"AIM/CGE 2.0","SSP5-Baseline","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71298.85961,"",109559.7967,"",180059,"",280845.4,"",393377.6,"",515711.9,"",651509.1,"",795198.8,"",947244.1,"",1104488
"AIM/CGE 2.0","SSP2-26","World","Population","million",6490.9879,6879.5896,"",7623.6572,"",8273.4011,"",8795.5201,"",9172.3104,"",9380.9208,"",9442.8467,"",9383.0055,"",9220.2795,"",8990.6331
"AIM/CGE 2.0","SSP2-26","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71296.83055,"",108004.2911,"",150921.1,"",194795.7,"",242427.9,"",294988.1,"",354042.7,"",419573,"",491189.6,"",569449.1
"AIM/CGE 2.0","SSP1-Baseline","World","Population","million",6490.9879,6879.5896,"",7529.2273,"",8010.6224,"",8332.3655,"",8469.1883,"",8426.4663,"",8229.2513,"",7894.6378,"",7435.4936,"",6881.5846
"AIM/CGE 2.0","SSP1-Baseline","World","GDP|PPP","billion US$2010/yr",60200.92727000001,71311.9968,"",108380.8,"",165190.3,"",236877.3,"",310590.5,"",382202.7,"",452284.8,"",515093.7,"",570554.6,"",616112.2
"Â© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"